seqid,uniprot
SeqId_11395_5,Q14289
SeqId_11396_39,Q9UI46
SeqId_11401_181,Q9NTX7
SeqId_11402_17,Q8NEZ4
SeqId_11405_150,Q9H257
SeqId_11406_82,Q9UKU7
SeqId_11407_57,Q9NRY6
SeqId_11416_23,Q9UKA2
SeqId_11421_10,Q9H223
SeqId_11422_2,O60479
SeqId_11424_4,P16930
SeqId_11425_31,Q96T51
SeqId_11428_31,O00151
SeqId_11429_80,P07910
SeqId_11430_49,Q86Y01
SeqId_11431_235,P46063
SeqId_11432_11,O60828
SeqId_11433_11,Q96GX1
SeqId_11436_6,Q16352
SeqId_11438_6,P25686
SeqId_11439_88,Q8IUC4
SeqId_11440_58,O14543
SeqId_11441_11,P06737
SeqId_11442_1,Q8NFT8
SeqId_11444_49,Q9H1D9
SeqId_11448_34,P51570
SeqId_11449_22,P52907
SeqId_11454_87,O75821
SeqId_11456_2,Q96LZ2
SeqId_11457_53,Q14376
SeqId_11458_30,Q15365
SeqId_11459_81,P55199
SeqId_11462_8,O43251
SeqId_11464_9,Q01201
SeqId_11465_4,Q8IZ08
SeqId_11468_15,Q9Y4C8
SeqId_11476_43,Q9UN37
SeqId_11480_1,P30838
SeqId_11481_25,Q8TDQ0
SeqId_11486_26,Q15697
SeqId_11490_42,P11441
SeqId_11493_169,Q96FJ2
SeqId_11494_4,O00472
SeqId_11510_31,O14791
SeqId_11513_92,P28907
SeqId_11514_196,P13987
SeqId_11516_7,P07148
SeqId_11530_37,P08397
SeqId_11531_24,Q9H7M9
SeqId_11534_6,Q3SXY7
SeqId_11536_9,Q5VVJ2
SeqId_11537_12,Q9UP52
SeqId_11538_216,O95822
SeqId_11539_4,P56134
SeqId_11540_37,O43524
SeqId_11542_11,Q96A57
SeqId_11543_84,Q9UHB6
SeqId_11544_39,Q92576
SeqId_11546_7,Q8WWM9
SeqId_11547_84,O15146
SeqId_11548_84,P30304
SeqId_11549_6,P61371
SeqId_11551_16,Q9P0W2
SeqId_11556_19,Q8N6T3
SeqId_11557_3,Q9HCE7
SeqId_11560_76,Q14934
SeqId_11561_32,Q99LC4
SeqId_11562_9,P56282
SeqId_11563_51,Q96C24
SeqId_11565_58,P17027
SeqId_11566_48,Q14CN4
SeqId_11567_23,P21506
SeqId_11568_2,P68106
SeqId_11570_94,Q9UHQ4
SeqId_11571_75,Q07444
SeqId_11572_4,P50570
SeqId_11573_3,Q13247
SeqId_11582_63,O60884
SeqId_11587_5,Q8IWI9
SeqId_11590_5,Q86U06
SeqId_11591_43,O43663
SeqId_11592_1,Q15717
SeqId_11593_21,Q07325
SeqId_11596_47,P51815
SeqId_11601_26,Q14562
SeqId_11606_22,O75190
SeqId_11607_15,O95696
SeqId_11608_5,Q9GZQ8
SeqId_11614_29,P84090
SeqId_11615_16,Q9UN19
SeqId_11616_9,Q00613
SeqId_11617_1,P20701
SeqId_11618_83,P10242
SeqId_11626_7,Q13404
SeqId_11633_89,O95433
SeqId_11634_32,O43665
SeqId_11636_33,P37802
SeqId_11638_42,O43825
SeqId_11643_73,Q8TDB6
SeqId_11645_9,P13674
SeqId_11646_4,Q7L1S5
SeqId_11647_6,Q9ULW2
SeqId_11649_3,Q8IYB5
SeqId_11653_69,P48067
SeqId_11654_77,Q8IZ57
SeqId_11656_110,Q9UI08
SeqId_11657_86,O14512
SeqId_11659_31,Q14677
SeqId_11661_11,Q9C000
SeqId_11664_32,Q8N6H7
SeqId_11666_72,P57771
SeqId_11667_29,Q63HR2
SeqId_11669_39,Q9H2Y9
SeqId_11671_19,P55201
SeqId_11672_17,Q96L93
SeqId_11677_17,Q8IZN3
SeqId_11678_105,Q9UKL4
SeqId_11681_8,P52594
SeqId_11682_7,Q9H3M7
SeqId_11683_19,Q9NZ52
SeqId_11690_47,Q9UJX3
SeqId_11692_21,Q6S5L8
SeqId_11696_7,P29373
SeqId_11699_16,Q12974
SeqId_11708_2,P31025
SeqId_11709_29,Q92523
SeqId_11715_1,P14859
SeqId_11716_28,A6NDA9
SeqId_11816_84,O60674
SeqId_11825_27,Q9UBK2
SeqId_11827_7,P51449
SeqId_11837_7,Q9Y5U5
SeqId_11838_130,Q92508
SeqId_11860_3,Q99LC4
SeqId_11872_9,Q9Y5G3
SeqId_11895_21,Q99LC4
SeqId_11910_27,Q92988
SeqId_11911_13,Q9NT99
SeqId_11912_45,Q99LC4
SeqId_11917_8,Q99LC4
SeqId_11918_54,Q99LC4
SeqId_11919_84,Q99LC4
SeqId_11926_23,Q6PD74
SeqId_11927_3,Q99LC4
SeqId_11934_9,Q68E01
SeqId_11939_11,Q99LC4
SeqId_11952_1,Q8IVU1
SeqId_11955_1,Q07960
SeqId_11967_23,P29762
SeqId_11969_5,P29034
SeqId_11986_30,Q99LC4
SeqId_11988_24,Q9HD43
SeqId_11989_35,Q8N766
SeqId_11993_227,Q99LC4
SeqId_12001_7,Q07157
SeqId_12008_3,P09564
SeqId_12012_33,Q99LC4
SeqId_12014_19,Q03393
SeqId_12016_60,P22681
SeqId_12018_84,Q9H3S4
SeqId_12020_39,P07738
SeqId_12022_12,Q13485
SeqId_12030_82,P17661
SeqId_12033_3,O43683
SeqId_12034_28,Q01518
SeqId_12041_33,P34931
SeqId_12046_51,Q13148
SeqId_12329_21,Q15418
SeqId_12332_7,O00418
SeqId_12333_87,P49247
SeqId_12334_25,P34896
SeqId_12338_27,Q63HQ2
SeqId_12340_17,P49588
SeqId_12341_8,Q16828
SeqId_12343_14,Q15057
SeqId_12345_4,Q9UM13
SeqId_12347_29,Q9BSQ5
SeqId_12348_46,Q9NP81
SeqId_12350_86,P15036
SeqId_12352_70,Q96B67
SeqId_12355_223,Q96E11
SeqId_12356_65,P30626
SeqId_12357_41,O95721
SeqId_12358_6,P78318
SeqId_12361_102,P62070
SeqId_12363_70,Q92519
SeqId_12365_108,Q9Y265
SeqId_12366_16,P07320
SeqId_12367_52,Q8N5G2
SeqId_12368_18,Q92831
SeqId_12370_30,Q13790
SeqId_12373_73,P62995
SeqId_12374_8,Q15102
SeqId_12376_85,P55273
SeqId_12378_71,O15533
SeqId_12381_26,P16152
SeqId_12382_2,O95786
SeqId_12384_92,Q9H9Q2
SeqId_12385_4,P20807
SeqId_12386_11,Q9H4A4
SeqId_12387_7,P50479
SeqId_12389_4,Q9Y5N6
SeqId_12391_27,Q9H5P4
SeqId_12392_30,P40616
SeqId_12394_53,Q6UWD8
SeqId_12395_86,Q6PI48
SeqId_12396_19,Q6NVY1
SeqId_12398_15,O43316
SeqId_12399_194,Q8IVM0
SeqId_12400_25,Q9NPD8
SeqId_12401_3,Q96FJ0
SeqId_12403_30,Q96DA2
SeqId_12406_119,O95661
SeqId_12408_333,Q9UL26
SeqId_12409_90,Q96AH8
SeqId_12411_60,P61244
SeqId_12415_122,O60869
SeqId_12417_46,Q9Y3C4
SeqId_12420_10,Q8N335
SeqId_12422_143,O15296
SeqId_12423_38,Q9NQ94
SeqId_12424_107,Q9P016
SeqId_12425_104,P62330
SeqId_12426_19,Q9H8S9
SeqId_12427_8,P30305
SeqId_12428_2,Q5VWZ2
SeqId_12430_78,Q9H074
SeqId_12431_13,Q9BRX2
SeqId_12432_23,Q9HB71
SeqId_12433_8,Q969Q4
SeqId_12434_25,P53990
SeqId_12436_84,P78417
SeqId_12437_18,Q6PHR2
SeqId_12438_127,P29372
SeqId_12439_67,Q00978
SeqId_12442_4,O00212
SeqId_12444_39,O00482
